TIME(MS),COMMAND,VALUE
 048900 ,8      ,1
 049050 ,4      ,1
 049050 ,5      ,0
 049050 ,8      ,0
 049150 ,8      ,1
 049250 ,3      ,1
 049250 ,4      ,0
 049300 ,8      ,0
 049400 ,8      ,1
 049450 ,2      ,1
 049450 ,3      ,0
 049550 ,8      ,0
 049650 ,1      ,1
 049650 ,2      ,0
 049650 ,8      ,1
 049750 ,7      ,1
 049750 ,8      ,0
 049850 ,1      ,0
 049850 ,2      ,1
 049900 ,7      ,0
 050000 ,7      ,1
 050050 ,2      ,0
 050050 ,3      ,1
 050150 ,7      ,0
 050250 ,3      ,0
 050250 ,4      ,1
 050250 ,7      ,1
 050400 ,7      ,0
 050450 ,4      ,0
 050450 ,5      ,1
 050500 ,1      ,1
 050500 ,2      ,1
 050500 ,3      ,1
 050500 ,4      ,1
 050750 ,1      ,0
 050750 ,2      ,0
 050750 ,3      ,0
 050750 ,4      ,0
 050750 ,5      ,0
 051000 ,1      ,1
 051000 ,2      ,1
 051000 ,3      ,1
 051000 ,4      ,1
 051000 ,5      ,1
 051250 ,1      ,0
 051250 ,2      ,0
 051250 ,3      ,0
 051250 ,4      ,0
 051250 ,5      ,0
 051450 ,1      ,1
 051450 ,2      ,1
 051450 ,3      ,1
 051450 ,4      ,1
 051450 ,5      ,1
 051700 ,1      ,0
 051700 ,2      ,0
 051700 ,3      ,0
 051700 ,4      ,0
 051700 ,5      ,0
 052300 ,1      ,1
 052300 ,2      ,1
 052300 ,3      ,1
 052300 ,4      ,1
 052300 ,5      ,1
 052450 ,1      ,0
 052650 ,2      ,0
 052850 ,3      ,0
 053050 ,4      ,0
 053200 ,5      ,0
 053400 ,1      ,1
 053400 ,2      ,1
 053400 ,3      ,1
 053400 ,4      ,1
 053400 ,5      ,1
 053400 ,6      ,1
 053600 ,1      ,0
 053600 ,2      ,0
 053600 ,3      ,0
 053600 ,4      ,0
 053600 ,5      ,0
 053600 ,6      ,0
 053850 ,1      ,1
 053850 ,2      ,1
 053850 ,3      ,1
 053850 ,4      ,1
 053850 ,5      ,1
 053850 ,7      ,1
 053950 ,1      ,0
 053950 ,2      ,0
 053950 ,3      ,0
 053950 ,4      ,0
 053950 ,5      ,0
 053950 ,7      ,0
 054050 ,1      ,1
 054050 ,2      ,1
 054050 ,3      ,1
 054050 ,4      ,1
 054050 ,5      ,1
 054050 ,8      ,1
 054200 ,1      ,0
 054250 ,7      ,1
 054250 ,8      ,0
 054400 ,2      ,0
 054450 ,7      ,0
 054450 ,8      ,1
 054650 ,3      ,0
 054650 ,7      ,1
 054650 ,8      ,0
 054850 ,4      ,0
 054850 ,7      ,0
 054850 ,8      ,1
 055000 ,5      ,0
 055000 ,8      ,0
 055200 ,5      ,1
 055550 ,4      ,1
 055800 ,3      ,1
 055850 ,8      ,1
 056200 ,2      ,1
 056250 ,8      ,0
 056600 ,1      ,1
 056600 ,7      ,1
 057000 ,1      ,0
 057000 ,7      ,0
 057400 ,1      ,1
 057500 ,8      ,1
 057700 ,1      ,0
 057850 ,2      ,0
 057900 ,8      ,0
 058300 ,3      ,0
 058300 ,4      ,0
 058300 ,5      ,0
 058800 ,5      ,1
 058950 ,4      ,1
 059200 ,3      ,1
 059250 ,8      ,1
 059400 ,2      ,1
 059650 ,8      ,0
 060050 ,1      ,1
 060100 ,7      ,1
 060500 ,7      ,0
 060750 ,1      ,0
 060950 ,2      ,0
 060950 ,8      ,1
 061050 ,3      ,0
 061200 ,4      ,0
 061350 ,5      ,0
 061350 ,8      ,0
 062650 ,5      ,1
 062650 ,6      ,1
 063050 ,4      ,1
 063050 ,6      ,0
 063050 ,7      ,1
 063500 ,3      ,1
 063500 ,7      ,0
 063500 ,8      ,1
 063650 ,2      ,1
 063900 ,2      ,0
 063900 ,6      ,1
 063900 ,8      ,0
 064100 ,2      ,1
 064300 ,1      ,1
 064300 ,6      ,0
 064300 ,7      ,1
 064750 ,7      ,0
 064750 ,8      ,1
 064800 ,1      ,0
 065150 ,2      ,0
 065200 ,6      ,1
 065200 ,8      ,0
 065600 ,6      ,0
 065600 ,7      ,1
 065700 ,3      ,0
 066050 ,4      ,0
 066050 ,7      ,0
 066050 ,8      ,1
 066350 ,4      ,1
 066500 ,6      ,1
 066500 ,8      ,0
 066900 ,6      ,0
 066900 ,7      ,1
 066950 ,3      ,1
 067150 ,2      ,1
 067400 ,1      ,1
 067400 ,7      ,0
 067400 ,8      ,1
 067500 ,1      ,0
 067650 ,2      ,0
 067650 ,7      ,1
 067650 ,8      ,0
 067850 ,3      ,0
 067850 ,6      ,1
 067850 ,7      ,0
 068050 ,4      ,0
 068050 ,6      ,0
 068050 ,7      ,1
 068200 ,7      ,0
 068200 ,8      ,1
 068350 ,5      ,0
 068350 ,8      ,0
 069050 ,5      ,1
 069400 ,4      ,1
 069600 ,8      ,1
 069650 ,3      ,1
 069950 ,2      ,1
 070400 ,1      ,1
 070450 ,7      ,1
 070450 ,8      ,0
 071000 ,1      ,0
 071000 ,7      ,0
 071350 ,1      ,1
 071350 ,8      ,1
 071750 ,1      ,0
 071750 ,7      ,1
 071750 ,8      ,0
 071900 ,2      ,0
 072000 ,3      ,0
 072150 ,4      ,0
 072250 ,5      ,0
 072250 ,7      ,0
 072600 ,5      ,1
 072750 ,4      ,1
 073000 ,3      ,1
 073100 ,8      ,1
 073200 ,2      ,1
 073500 ,8      ,0
 073550 ,1      ,1
 073700 ,1      ,0
 073850 ,1      ,1
 073900 ,7      ,1
 074250 ,1      ,0
 074300 ,7      ,0
 074750 ,2      ,0
