TIME(MS),COMMAND,VALUE
 018250 ,3      ,1
 018300 ,1      ,0
 018300 ,2      ,1
 018300 ,5      ,0
 018350 ,1      ,1
 018350 ,4      ,0
 018350 ,5      ,1
 018400 ,3      ,0
 018400 ,4      ,1
 018450 ,2      ,0
 018450 ,3      ,1
 018500 ,1      ,0
 018500 ,2      ,1
 018500 ,5      ,0
 018550 ,1      ,1
 018550 ,4      ,0
 018550 ,5      ,1
 018600 ,3      ,0
 018600 ,4      ,1
 018650 ,2      ,0
 018650 ,3      ,1
 018700 ,1      ,0
 018700 ,2      ,1
 018700 ,5      ,0
 018750 ,1      ,1
 018750 ,4      ,0
 018750 ,5      ,1
 018800 ,3      ,0
 018800 ,4      ,1
 018850 ,2      ,0
 018850 ,3      ,1
 018900 ,1      ,0
 018900 ,2      ,1
 018900 ,5      ,0
 018950 ,1      ,1
 018950 ,4      ,0
 018950 ,5      ,1
 019000 ,3      ,0
 019000 ,4      ,1
 019050 ,2      ,0
 019050 ,3      ,1
 019100 ,1      ,0
 019100 ,2      ,1
 019150 ,1      ,1
 019150 ,5      ,0
 019200 ,4      ,0
 019200 ,5      ,1
 019250 ,3      ,0
 019250 ,4      ,1
 019300 ,2      ,0
 019300 ,3      ,1
 019350 ,1      ,0
 019350 ,2      ,1
 019350 ,5      ,0
 019400 ,1      ,1
 019400 ,4      ,0
 019400 ,5      ,1
 019450 ,3      ,0
 019450 ,4      ,1
 019500 ,2      ,0
 019500 ,3      ,1
 019550 ,1      ,0
 019550 ,2      ,1
 019550 ,5      ,0
 019600 ,1      ,1
 019600 ,4      ,0
 019600 ,5      ,1
 019650 ,3      ,0
 019650 ,4      ,1
 019700 ,2      ,0
 019700 ,3      ,1
 019750 ,1      ,0
 019750 ,2      ,1
 019750 ,5      ,0
 019800 ,1      ,1
 019800 ,4      ,0
 019800 ,5      ,1
 019850 ,3      ,0
 019850 ,4      ,1
 019900 ,2      ,0
 019900 ,3      ,1
 019950 ,1      ,0
 019950 ,2      ,1
 019950 ,5      ,0
 020000 ,1      ,1
 020000 ,4      ,0
 020000 ,5      ,1
 020050 ,3      ,0
 020050 ,4      ,1
 020100 ,2      ,0
 020100 ,3      ,1
 020150 ,1      ,0
 020150 ,3      ,0
 020150 ,4      ,0
 020150 ,6      ,1
 020600 ,4      ,1
 021200 ,3      ,1
 021700 ,2      ,1
 022250 ,2      ,0
 022300 ,2      ,1
 022300 ,3      ,0
 022350 ,1      ,1
 022350 ,3      ,1
 022350 ,4      ,0
 022400 ,1      ,0
 022400 ,4      ,1
 022400 ,5      ,0
 022450 ,1      ,1
 022450 ,4      ,0
 022450 ,5      ,1
 022500 ,1      ,0
 022500 ,3      ,0
 022500 ,4      ,1
 022550 ,2      ,0
 022550 ,3      ,1
 022600 ,1      ,1
 022600 ,2      ,1
 023100 ,1      ,0
 023700 ,2      ,0
 024200 ,3      ,0
 024750 ,4      ,0
 024950 ,5      ,0
 025250 ,1      ,1
 025250 ,2      ,1
 025250 ,3      ,1
 025250 ,4      ,1
 025250 ,5      ,1
 025250 ,6      ,0
 025250 ,8      ,1
 025550 ,5      ,0
 026200 ,4      ,0
 026450 ,3      ,0
 026800 ,2      ,0
 026900 ,5      ,1
 027000 ,4      ,1
 027000 ,5      ,0
 027300 ,3      ,1
 027300 ,4      ,0
 027350 ,1      ,0
 027450 ,2      ,1
 027450 ,3      ,0
 027650 ,1      ,1
 027650 ,2      ,0
 027750 ,2      ,1
 027750 ,3      ,1
 027750 ,4      ,1
 027750 ,5      ,1
 028100 ,5      ,0
 028400 ,4      ,0
 028600 ,3      ,0
 029050 ,2      ,0
 029300 ,5      ,1
 029600 ,4      ,1
 029600 ,5      ,0
 029850 ,1      ,0
 029900 ,3      ,1
 029900 ,4      ,0
 030050 ,2      ,1
 030050 ,3      ,0
 030150 ,1      ,1
 030150 ,2      ,0
 030300 ,2      ,1
 030300 ,3      ,1
 030300 ,4      ,1
 030300 ,5      ,1
 030300 ,7      ,1
 030300 ,8      ,0
 030650 ,6      ,1
 030650 ,7      ,0
 031000 ,6      ,0
 031000 ,8      ,1
 031600 ,7      ,1
 031600 ,8      ,0
 031800 ,6      ,1
 031800 ,7      ,0
 032500 ,6      ,0
 032500 ,8      ,1
 032900 ,6      ,1
 032900 ,7      ,1
 033250 ,5      ,0
 033550 ,4      ,0
 033750 ,3      ,0
 034200 ,2      ,0
 034400 ,2      ,1
 034400 ,3      ,1
 034400 ,4      ,1
 034450 ,4      ,0
 034450 ,5      ,1
 034500 ,3      ,0
 034500 ,4      ,1
 034550 ,2      ,0
 034550 ,3      ,1
 034600 ,1      ,0
 034600 ,2      ,1
 034600 ,5      ,0
 034650 ,1      ,1
 034650 ,4      ,0
 034650 ,5      ,1
 034700 ,3      ,0
 034700 ,4      ,1
 034750 ,2      ,0
 034750 ,3      ,1
 034800 ,1      ,0
 034800 ,2      ,1
 034800 ,5      ,0
 034850 ,1      ,1
 034850 ,4      ,0
 034850 ,5      ,1
 034900 ,3      ,0
 034900 ,4      ,1
 034950 ,2      ,0
 034950 ,3      ,1
 035000 ,1      ,0
 035000 ,2      ,1
 035000 ,5      ,0
 035050 ,1      ,1
 035050 ,4      ,0
 035050 ,5      ,1
 035100 ,3      ,0
 035100 ,4      ,1
 035150 ,2      ,0
 035150 ,3      ,1
 035200 ,1      ,0
 035200 ,2      ,1
 035200 ,5      ,0
 035250 ,1      ,1
 035250 ,4      ,0
 035250 ,5      ,1
 035300 ,3      ,0
 035300 ,4      ,1
 035350 ,2      ,0
 035350 ,3      ,1
 035400 ,1      ,0
 035400 ,2      ,1
 035400 ,5      ,0
 035450 ,1      ,1
 035450 ,4      ,0
 035450 ,5      ,1
 035500 ,3      ,0
 035500 ,4      ,1
 035550 ,2      ,0
 035550 ,3      ,1
 035600 ,1      ,0
 035600 ,2      ,1
 035650 ,2      ,0
 035650 ,3      ,0
 035650 ,4      ,0
 035650 ,6      ,0
 035650 ,7      ,0
 035650 ,8      ,0
 036300 ,4      ,1
 036700 ,3      ,1
 036900 ,1      ,1
 036900 ,2      ,1
 038200 ,1      ,0
 038200 ,2      ,0
 038200 ,3      ,0
 038200 ,4      ,0
 038200 ,5      ,0
 038250 ,8      ,1
 038750 ,7      ,1
 038750 ,8      ,0
 039000 ,6      ,1
 039000 ,7      ,0
 039250 ,1      ,1
 039250 ,2      ,1
 039250 ,3      ,1
 039250 ,4      ,1
 039250 ,5      ,1
 039250 ,7      ,1
 039250 ,8      ,1
 039350 ,1      ,0
 039350 ,2      ,0
 039350 ,3      ,0
