TIME(MS),COMMAND,VALUE
 031900 ,2      ,1
 031950 ,1      ,1
 032000 ,1      ,0
 032000 ,2      ,0
 032000 ,3      ,0
 032000 ,4      ,0
 032000 ,5      ,0
 032200 ,1      ,1
 032200 ,3      ,1
 032200 ,5      ,1
 032200 ,6      ,1
 032550 ,1      ,0
 032550 ,2      ,1
 032550 ,3      ,0
 032550 ,4      ,1
 032550 ,5      ,0
 032950 ,1      ,1
 032950 ,2      ,0
 032950 ,3      ,1
 032950 ,4      ,0
 032950 ,5      ,1
 032950 ,6      ,0
 033350 ,1      ,0
 033350 ,2      ,1
 033350 ,3      ,0
 033350 ,4      ,1
 033350 ,5      ,0
 033700 ,1      ,1
 033700 ,2      ,0
 033700 ,3      ,1
 033700 ,4      ,0
 033700 ,5      ,1
 033700 ,6      ,1
 034100 ,1      ,0
 034100 ,2      ,1
 034100 ,3      ,0
 034100 ,4      ,1
 034100 ,5      ,0
 034500 ,1      ,1
 034500 ,2      ,0
 034500 ,3      ,1
 034500 ,4      ,0
 034500 ,5      ,1
 034500 ,6      ,0
 034900 ,1      ,0
 034900 ,2      ,1
 034900 ,3      ,0
 034900 ,4      ,1
 034900 ,5      ,0
 034900 ,6      ,1
 035250 ,1      ,1
 035250 ,2      ,0
 035250 ,3      ,1
 035250 ,4      ,0
 035250 ,5      ,1
 035700 ,1      ,0
 035700 ,2      ,1
 035700 ,3      ,0
 035700 ,4      ,1
 035700 ,5      ,0
 035700 ,6      ,0
 036050 ,1      ,1
 036050 ,2      ,0
 036050 ,3      ,1
 036050 ,4      ,0
 036050 ,5      ,1
 036500 ,1      ,0
 036500 ,2      ,1
 036500 ,3      ,0
 036500 ,4      ,1
 036500 ,5      ,0
 036500 ,6      ,1
 036900 ,1      ,1
 036900 ,2      ,0
 036900 ,3      ,1
 036900 ,4      ,0
 036900 ,5      ,1
 037250 ,1      ,0
 037250 ,2      ,1
 037250 ,3      ,0
 037250 ,4      ,1
 037250 ,5      ,0
 037250 ,6      ,0
 037600 ,1      ,1
 037600 ,2      ,0
 037600 ,3      ,1
 037600 ,4      ,0
 037600 ,5      ,1
 037800 ,1      ,0
 037800 ,3      ,0
 037800 ,5      ,0
 037950 ,5      ,1
 037950 ,6      ,1
 038000 ,4      ,1
 038050 ,3      ,1
 038100 ,2      ,1
 038150 ,1      ,1
 038200 ,1      ,0
 038200 ,2      ,0
 038200 ,3      ,0
 038200 ,4      ,0
 038200 ,5      ,0
 038200 ,6      ,0
 038500 ,1      ,1
 038500 ,2      ,1
 038500 ,3      ,1
 038500 ,4      ,1
 038500 ,5      ,1
 038600 ,1      ,0
 038600 ,2      ,0
 038600 ,3      ,0
 038600 ,4      ,0
 038600 ,5      ,0
 038800 ,6      ,1
 039350 ,4      ,1
 039350 ,5      ,1
 039350 ,6      ,0
 039550 ,1      ,1
 039550 ,2      ,1
 039550 ,3      ,1
 039750 ,1      ,0
 039950 ,2      ,0
 040150 ,3      ,0
 040350 ,4      ,0
 040350 ,5      ,0
 040500 ,2      ,1
 040500 ,4      ,1
 040750 ,1      ,1
 040750 ,2      ,0
 040750 ,3      ,1
 040750 ,4      ,0
 040900 ,1      ,0
 040900 ,2      ,1
 040900 ,3      ,0
 040900 ,4      ,1
 041100 ,2      ,0
 041100 ,4      ,0
 041100 ,5      ,1
 041400 ,5      ,0
 041500 ,4      ,1
 041500 ,5      ,1
 041850 ,3      ,1
 042300 ,2      ,1
 042650 ,1      ,1
 042850 ,1      ,0
 043050 ,2      ,0
 043250 ,3      ,0
 043350 ,4      ,0
 043350 ,5      ,0
 043450 ,1      ,1
 043450 ,2      ,1
 043450 ,3      ,1
 043450 ,4      ,1
 043450 ,5      ,1
 043450 ,6      ,1
 044100 ,1      ,0
 044100 ,2      ,0
 044100 ,3      ,0
 044100 ,4      ,0
 044100 ,5      ,0
 044100 ,6      ,0
 044250 ,1      ,1
 044250 ,6      ,1
 044850 ,1      ,0
 044850 ,2      ,1
 044850 ,6      ,0
 045050 ,1      ,1
 045050 ,2      ,0
 045050 ,6      ,1
 045600 ,1      ,0
 045600 ,2      ,1
 045600 ,6      ,0
 045750 ,1      ,1
 045750 ,2      ,0
 045950 ,1      ,0
 045950 ,3      ,1
 046150 ,3      ,0
 046150 ,4      ,1
 046350 ,4      ,0
 046350 ,5      ,1
 046650 ,5      ,0
 046800 ,3      ,1
 046800 ,5      ,1
 046950 ,2      ,1
 046950 ,3      ,0
 046950 ,4      ,1
 046950 ,5      ,0
 047150 ,2      ,0
 047150 ,3      ,1
 047350 ,3      ,0
 047350 ,4      ,0
 047350 ,5      ,1
 047550 ,5      ,0
 047700 ,3      ,1
 047700 ,5      ,1
 048100 ,1      ,1
 048500 ,1      ,0
 048500 ,2      ,1
 048500 ,3      ,0
 048500 ,4      ,1
 048500 ,5      ,0
 048900 ,1      ,1
 048900 ,3      ,1
 048900 ,5      ,1
 048900 ,6      ,1
